Plate	Rep	Row	Column	OD	Well	Antibiotic	Concentration	Group	Evol_compound	Compound_conc
5002_0	Rep_3	B	2	0.167	B2	Ampicillin	120	Rep_3_5002_0	Parental	0
5002_0	Rep_3	C	12	0.184	C12	Teicoplanin	75	Rep_3_5002_0	Parental	0
5002_0	Rep_3	G	12	0.804	G12	Teicoplanin	4.6875	Rep_3_5002_0	Parental	0
5002_0	Rep_3	G	7	0.901	G7	Meropenem	0.0625	Rep_3_5002_0	Parental	0
5002_0	Rep_3	A	8	0.154	A8	Methicillin	1200	Rep_3_5002_0	Parental	0
5002_0	Rep_3	D	3	0.943	D3	Azithromycin	2	Rep_3_5002_0	Parental	0
5002_0	Rep_3	D	2	0.183	D2	Ampicillin	30	Rep_3_5002_0	Parental	0
5002_0	Rep_3	C	4	0.327	C4	Chloramphenicol	24	Rep_3_5002_0	Parental	0
5002_0	Rep_3	E	9	0.798	E9	Metronidazole	3.46	Rep_3_5002_0	Parental	0
5002_0	Rep_3	G	9	1.004	G9	Metronidazole	0.865	Rep_3_5002_0	Parental	0
5002_0	Rep_3	A	7	0.182	A7	Meropenem	4	Rep_3_5002_0	Parental	0
5002_0	Rep_3	F	1	0.873	F1	Amoxicillin	6.25	Rep_3_5002_0	Parental	0
5002_0	Rep_3	A	10	0.214	A10	Ofloxacin	25	Rep_3_5002_0	Parental	0
5002_0	Rep_3	D	1	0.603	D1	Amoxicillin	25	Rep_3_5002_0	Parental	0
5002_0	Rep_3	G	4	0.963	G4	Chloramphenicol	1.5	Rep_3_5002_0	Parental	0
5002_0	Rep_3	G	10	0.962	G10	Ofloxacin	0.390625	Rep_3_5002_0	Parental	0
5002_0	Rep_3	A	1	0.169	A1	Amoxicillin	200	Rep_3_5002_0	Parental	0
5002_0	Rep_3	F	5	0.655	F5	Doxycycline	0.04	Rep_3_5002_0	Parental	0
5002_0	Rep_3	D	4	0.658	D4	Chloramphenicol	12	Rep_3_5002_0	Parental	0
5002_0	Rep_3	H	11	0.131	H11	Negative_control	0	Rep_3_5002_0	Parental	0
5002_0	Rep_3	F	7	0.861	F7	Meropenem	0.125	Rep_3_5002_0	Parental	0
5002_0	Rep_3	E	11	0.132	E11	Negative_control	0	Rep_3_5002_0	Parental	0
5002_0	Rep_3	G	2	0.654	G2	Ampicillin	3.75	Rep_3_5002_0	Parental	0
5002_0	Rep_3	H	6	0.993	H6	Erythromycin	0	Rep_3_5002_0	Parental	0
5002_0	Rep_3	B	5	0.287	B5	Doxycycline	0.64	Rep_3_5002_0	Parental	0
5002_0	Rep_3	C	7	0.178	C7	Meropenem	1	Rep_3_5002_0	Parental	0
5002_0	Rep_3	D	11	0.132	D11	Negative_control	0	Rep_3_5002_0	Parental	0
5002_0	Rep_3	E	2	0.173	E2	Ampicillin	15	Rep_3_5002_0	Parental	0
5002_0	Rep_3	D	5	0.212	D5	Doxycycline	0.16	Rep_3_5002_0	Parental	0
5002_0	Rep_3	B	7	0.17	B7	Meropenem	2	Rep_3_5002_0	Parental	0
5002_0	Rep_3	G	1	0.991	G1	Amoxicillin	3.125	Rep_3_5002_0	Parental	0
5002_0	Rep_3	H	12	0.829	H12	Teicoplanin	0	Rep_3_5002_0	Parental	0
5002_0	Rep_3	B	10	0.299	B10	Ofloxacin	12.5	Rep_3_5002_0	Parental	0
5002_0	Rep_3	H	2	1.01	H2	Ampicillin	0	Rep_3_5002_0	Parental	0
5002_0	Rep_3	B	4	0.324	B4	Chloramphenicol	48	Rep_3_5002_0	Parental	0
5002_0	Rep_3	E	5	0.225	E5	Doxycycline	0.08	Rep_3_5002_0	Parental	0
5002_0	Rep_3	F	4	0.95	F4	Chloramphenicol	3	Rep_3_5002_0	Parental	0
5002_0	Rep_3	H	8	0.964	H8	Methicillin	0	Rep_3_5002_0	Parental	0
5002_0	Rep_3	E	4	0.86	E4	Chloramphenicol	6	Rep_3_5002_0	Parental	0
5002_0	Rep_3	B	8	0.188	B8	Methicillin	600	Rep_3_5002_0	Parental	0
5002_0	Rep_3	F	11	0.132	F11	Negative_control	0	Rep_3_5002_0	Parental	0
5002_0	Rep_3	F	8	0.728	F8	Methicillin	37.5	Rep_3_5002_0	Parental	0
5002_0	Rep_3	H	3	0.982	H3	Azithromycin	0	Rep_3_5002_0	Parental	0
5002_0	Rep_3	C	1	0.186	C1	Amoxicillin	50	Rep_3_5002_0	Parental	0
5002_0	Rep_3	H	10	0.984	H10	Ofloxacin	0	Rep_3_5002_0	Parental	0
5002_0	Rep_3	G	6	0.969	G6	Erythromycin	0.13125	Rep_3_5002_0	Parental	0
5002_0	Rep_3	D	12	0.327	D12	Teicoplanin	37.5	Rep_3_5002_0	Parental	0
5002_0	Rep_3	E	10	0.958	E10	Ofloxacin	1.5625	Rep_3_5002_0	Parental	0
5002_0	Rep_3	H	9	0.97	H9	Metronidazole	0	Rep_3_5002_0	Parental	0
5002_0	Rep_3	F	10	0.963	F10	Ofloxacin	0.78125	Rep_3_5002_0	Parental	0
5002_0	Rep_3	B	12	0.168	B12	Teicoplanin	150	Rep_3_5002_0	Parental	0
5002_0	Rep_3	D	6	0.871	D6	Erythromycin	1.05	Rep_3_5002_0	Parental	0
5002_0	Rep_3	A	4	0.295	A4	Chloramphenicol	96	Rep_3_5002_0	Parental	0
5002_0	Rep_3	G	3	0.991	G3	Azithromycin	0.25	Rep_3_5002_0	Parental	0
5002_0	Rep_3	C	9	0.238	C9	Metronidazole	13.84	Rep_3_5002_0	Parental	0
5002_0	Rep_3	E	3	0.983	E3	Azithromycin	1	Rep_3_5002_0	Parental	0
5002_0	Rep_3	C	3	0.793	C3	Azithromycin	4	Rep_3_5002_0	Parental	0
5002_0	Rep_3	H	7	0.987	H7	Meropenem	0	Rep_3_5002_0	Parental	0
5002_0	Rep_3	C	8	0.175	C8	Methicillin	300	Rep_3_5002_0	Parental	0
5002_0	Rep_3	D	7	0.686	D7	Meropenem	0.5	Rep_3_5002_0	Parental	0
5002_0	Rep_3	E	12	0.746	E12	Teicoplanin	18.75	Rep_3_5002_0	Parental	0
5002_0	Rep_3	G	5	0.884	G5	Doxycycline	0.02	Rep_3_5002_0	Parental	0
5002_0	Rep_3	H	5	0.938	H5	Doxycycline	0	Rep_3_5002_0	Parental	0
5002_0	Rep_3	B	6	0.339	B6	Erythromycin	4.2	Rep_3_5002_0	Parental	0
5002_0	Rep_3	B	3	0.38	B3	Azithromycin	8	Rep_3_5002_0	Parental	0
5002_0	Rep_3	B	9	0.221	B9	Metronidazole	27.68	Rep_3_5002_0	Parental	0
5002_0	Rep_3	C	10	1.017	C10	Ofloxacin	6.25	Rep_3_5002_0	Parental	0
5002_0	Rep_3	F	3	0.989	F3	Azithromycin	0.5	Rep_3_5002_0	Parental	0
5002_0	Rep_3	C	6	0.328	C6	Erythromycin	2.1	Rep_3_5002_0	Parental	0
5002_0	Rep_3	F	2	0.273	F2	Ampicillin	7.5	Rep_3_5002_0	Parental	0
5002_0	Rep_3	G	8	0.718	G8	Methicillin	18.75	Rep_3_5002_0	Parental	0
5002_0	Rep_3	E	6	0.912	E6	Erythromycin	0.525	Rep_3_5002_0	Parental	0
5002_0	Rep_3	C	2	0.168	C2	Ampicillin	60	Rep_3_5002_0	Parental	0
5002_0	Rep_3	B	1	0.168	B1	Amoxicillin	100	Rep_3_5002_0	Parental	0
5002_0	Rep_3	G	11	0.132	G11	Negative_control	0	Rep_3_5002_0	Parental	0
5002_0	Rep_3	A	2	0.173	A2	Ampicillin	240	Rep_3_5002_0	Parental	0
5002_0	Rep_3	B	11	0.132	B11	Negative_control	0	Rep_3_5002_0	Parental	0
5002_0	Rep_3	A	11	0.134	A11	Negative_control	0	Rep_3_5002_0	Parental	0
5002_0	Rep_3	D	10	0.989	D10	Ofloxacin	3.125	Rep_3_5002_0	Parental	0
5002_0	Rep_3	A	12	0.169	A12	Teicoplanin	300	Rep_3_5002_0	Parental	0
5002_0	Rep_3	A	3	0.384	A3	Azithromycin	16	Rep_3_5002_0	Parental	0
5002_0	Rep_3	D	9	0.27	D9	Metronidazole	6.92	Rep_3_5002_0	Parental	0
5002_0	Rep_3	H	1	1.005	H1	Amoxicillin	0	Rep_3_5002_0	Parental	0
5002_0	Rep_3	A	6	0.362	A6	Erythromycin	8.4	Rep_3_5002_0	Parental	0
5002_0	Rep_3	C	11	0.132	C11	Negative_control	0	Rep_3_5002_0	Parental	0
5002_0	Rep_3	A	9	0.219	A9	Metronidazole	55.36	Rep_3_5002_0	Parental	0
5002_0	Rep_3	H	4	0.978	H4	Chloramphenicol	0	Rep_3_5002_0	Parental	0
5002_0	Rep_3	E	1	0.903	E1	Amoxicillin	12.5	Rep_3_5002_0	Parental	0
5002_0	Rep_3	F	12	0.802	F12	Teicoplanin	9.375	Rep_3_5002_0	Parental	0
5002_0	Rep_3	F	9	1.005	F9	Metronidazole	1.73	Rep_3_5002_0	Parental	0
5002_0	Rep_3	C	5	0.243	C5	Doxycycline	0.32	Rep_3_5002_0	Parental	0
5002_0	Rep_3	A	5	0.208	A5	Doxycycline	1.28	Rep_3_5002_0	Parental	0
5002_0	Rep_3	D	8	0.195	D8	Methicillin	150	Rep_3_5002_0	Parental	0
5002_0	Rep_3	E	7	0.824	E7	Meropenem	0.25	Rep_3_5002_0	Parental	0
5002_0	Rep_3	E	8	0.444	E8	Methicillin	75	Rep_3_5002_0	Parental	0
5002_0	Rep_3	F	6	0.974	F6	Erythromycin	0.2625	Rep_3_5002_0	Parental	0
5002_1	Rep_2	H	10	0.964	H10	Ofloxacin	0	Rep_2_5002_1	Parental	0
5002_1	Rep_2	B	10	0.236	B10	Ofloxacin	12.5	Rep_2_5002_1	Parental	0
5002_1	Rep_2	B	11	0.147	B11	Negative_control	0	Rep_2_5002_1	Parental	0
5002_1	Rep_2	H	5	0.971	H5	Doxycycline	0	Rep_2_5002_1	Parental	0
