Experiment	Percentage_gate	Bead_gate	Beads_number_from_kit/mL	cell/mL_10e-6	cell/mL	cell/mL_dilution_factor	Condition	Group	Well	Plate_ID
1	92.3	1.26	1000000	73.25396825	7.33E+07	3.66E+08	Loperamide	Lop50_evo	A4	Plate_3
2	95.4	1.24	1000000	76.93548387	7.69E+07	3.85E+08	Loperamide	Lop50_evo	B4	Plate_3
3	94.1	1.16	1000000	81.12068966	8.11E+07	4.06E+08	Loperamide	Lop50_evo	C4	Plate_3
4	90.8	1.37	1000000	66.27737226	6.63E+07	3.31E+08	Loperamide	Lop50_evo	D4	Plate_3
5	93.3	1.42	1000000	65.70422535	6.57E+07	3.29E+08	Loperamide	DMSO_evo	A6	Plate_3
6	94.9	1.29	1000000	73.56589147	7.36E+07	3.68E+08	Loperamide	DMSO_evo	B6	Plate_3
7	93.3	1.53	1000000	60.98039216	6.10E+07	3.05E+08	Loperamide	DMSO_evo	C6	Plate_3
8	92.8	1.18	1000000	78.6440678	7.86E+07	3.93E+08	Loperamide	DMSO_evo	D6	Plate_3
9	93.5	1.12	1000000	83.48214286	8.35E+07	4.17E+08	Loperamide	Parental	A2	Plate_3
10	88.9	1.86	1000000	47.79569892	4.78E+07	2.39E+08	Loperamide	Parental	B2	Plate_3
11	87.6	1.5	1000000	58.4	5.84E+07	2.92E+08	Loperamide	Parental	C2	Plate_3
12	90.9	1.75	1000000	51.94285714	5.19E+07	2.60E+08	Loperamide	Parental	D2	Plate_3
13	96.2	1.02	1000000	94.31372549	9.43E+07	4.72E+08	DMSO	Lop50_evo	A4	Plate_1
14	93.4	1.09	1000000	85.68807339	8.57E+07	4.28E+08	DMSO	Lop50_evo	B4	Plate_1
15	92.8	1.4	1000000	66.28571429	6.63E+07	3.31E+08	DMSO	Lop50_evo	C4	Plate_1
16	90	1.32	1000000	68.18181818	6.82E+07	3.41E+08	DMSO	Lop50_evo	D4	Plate_1
17	90.5	0.89	1000000	101.6853933	1.02E+08	5.08E+08	DMSO	DMSO_evo	A6	Plate_1
18	87.3	1.27	1000000	68.74015748	6.87E+07	3.44E+08	DMSO	DMSO_evo	B6	Plate_1
19	96.1	0.96	1000000	100.1041667	1.00E+08	5.01E+08	DMSO	DMSO_evo	C6	Plate_1
20	92.5	1.13	1000000	81.85840708	8.19E+07	4.09E+08	DMSO	DMSO_evo	D6	Plate_1
21	90.8	1.33	1000000	68.27067669	6.83E+07	3.41E+08	DMSO	Parental	A2	Plate_1
22	89.4	1.22	1000000	73.27868852	7.33E+07	3.66E+08	DMSO	Parental	B2	Plate_1
23	91.9	1.2	1000000	76.58333333	7.66E+07	3.83E+08	DMSO	Parental	C2	Plate_1
24	87.1	1.28	1000000	68.046875	6.80E+07	3.40E+08	DMSO	Parental	D2	Plate_1
