Date	Passage	Time	A1	A3	B1	B3	C1	C3	D1	D3	E1	E2	F1	F2	G1	G2	H1	H2
20230125	0	0	0.247	0.219	0.199	0.199	0.195	0.202	0.203	0.207	0.199	0.203	0.221	0.204	0.216	0.235	0.239	0.21
20230125	0	1	0.25	0.221	0.205	0.203	0.202	0.234	0.208	0.243	0.206	0.208	0.227	0.228	0.225	0.235	0.249	0.213
20230125	0	2	0.258	0.22	0.215	0.199	0.211	0.201	0.217	0.205	0.214	0.206	0.234	0.208	0.233	0.234	0.257	0.214
20230125	0	3	0.275	0.218	0.231	0.198	0.229	0.199	0.23	0.204	0.228	0.211	0.248	0.211	0.246	0.238	0.272	0.219
20230125	0	4	0.303	0.217	0.26	0.197	0.258	0.198	0.252	0.203	0.253	0.218	0.271	0.217	0.271	0.244	0.295	0.228
20230125	0	5	0.346	0.216	0.305	0.196	0.297	0.197	0.29	0.201	0.289	0.231	0.308	0.23	0.309	0.255	0.335	0.243
20230125	0	6	0.404	0.215	0.363	0.195	0.353	0.196	0.346	0.2	0.344	0.277	0.363	0.272	0.365	0.299	0.395	0.284
20230125	0	7	0.501	0.214	0.45	0.194	0.435	0.195	0.425	0.199	0.42	0.326	0.438	0.321	0.445	0.342	0.478	0.328
20230125	0	8	0.612	0.213	0.568	0.194	0.551	0.194	0.538	0.198	0.532	0.358	0.548	0.35	0.558	0.368	0.591	0.363
20230125	0	9	0.669	0.212	0.661	0.193	0.649	0.194	0.638	0.197	0.636	0.391	0.652	0.384	0.66	0.405	0.687	0.408
20230125	0	10	0.681	0.212	0.665	0.192	0.655	0.193	0.648	0.196	0.655	0.451	0.671	0.442	0.673	0.465	0.693	0.473
20230125	0	11	0.71	0.211	0.689	0.191	0.679	0.193	0.668	0.195	0.672	0.509	0.69	0.501	0.694	0.52	0.716	0.529
20230125	0	12	0.734	0.21	0.712	0.191	0.702	0.192	0.692	0.194	0.697	0.561	0.712	0.554	0.716	0.576	0.738	0.591
20230125	0	13	0.749	0.21	0.728	0.19	0.72	0.191	0.712	0.193	0.716	0.612	0.73	0.607	0.736	0.614	0.757	0.608
20230125	0	14	0.757	0.209	0.738	0.19	0.729	0.191	0.724	0.193	0.727	0.593	0.741	0.588	0.746	0.579	0.769	0.572
20230125	0	15	0.761	0.209	0.74	0.191	0.735	0.191	0.731	0.194	0.733	0.57	0.747	0.564	0.751	0.564	0.775	0.559
20230125	0	16	0.764	0.21	0.742	0.192	0.738	0.192	0.736	0.195	0.737	0.553	0.749	0.548	0.756	0.547	0.78	0.544
20230125	0	17	0.767	0.211	0.743	0.196	0.738	0.195	0.737	0.199	0.739	0.538	0.75	0.533	0.759	0.535	0.784	0.534
20230125	0	18	0.768	0.216	0.744	0.205	0.74	0.2	0.739	0.207	0.74	0.527	0.751	0.521	0.762	0.529	0.786	0.528
20230125	0	19	0.771	0.225	0.745	0.223	0.742	0.212	0.739	0.225	0.741	0.518	0.753	0.514	0.763	0.521	0.787	0.521
20230125	0	20	0.772	0.245	0.745	0.259	0.742	0.236	0.743	0.259	0.742	0.513	0.753	0.509	0.764	0.522	0.789	0.523
20230125	0	21	0.775	0.283	0.748	0.309	0.744	0.277	0.746	0.307	0.744	0.507	0.753	0.503	0.765	0.533	0.79	0.531
20230125	0	22	0.776	0.335	0.749	0.38	0.746	0.332	0.747	0.374	0.748	0.506	0.756	0.502	0.767	0.536	0.792	0.53
20230125	0	23	0.778	0.408	0.75	0.463	0.747	0.409	0.749	0.455	0.749	0.508	0.757	0.505	0.768	0.533	0.793	0.529
20230130	5	0	0.263	0.269	0.243	0.219	0.243	0.22	0.24	0.213	0.244	0.201	0.245	0.212	0.278	0.217	0.256	0.218
20230130	5	1	0.31	0.215	0.288	0.216	0.279	0.217	0.284	0.233	0.288	0.202	0.29	0.215	0.328	0.217	0.318	0.219
20230130	5	2	0.428	0.212	0.438	0.215	0.421	0.21	0.447	0.211	0.433	0.206	0.43	0.214	0.498	0.22	0.501	0.222
20230130	5	3	0.527	0.212	0.553	0.216	0.554	0.211	0.6	0.212	0.56	0.21	0.571	0.218	0.636	0.223	0.636	0.222
20230130	5	4	0.557	0.213	0.574	0.217	0.581	0.211	0.614	0.213	0.592	0.213	0.608	0.221	0.665	0.224	0.661	0.221
20230130	5	5	0.603	0.214	0.612	0.217	0.605	0.212	0.635	0.214	0.613	0.214	0.638	0.224	0.689	0.225	0.685	0.223
20230130	5	6	0.675	0.214	0.668	0.217	0.653	0.212	0.689	0.215	0.675	0.216	0.692	0.225	0.739	0.226	0.737	0.225
20230130	5	7	0.732	0.215	0.717	0.218	0.707	0.213	0.736	0.217	0.721	0.218	0.739	0.228	0.772	0.228	0.758	0.233
20230130	5	8	0.747	0.216	0.743	0.219	0.743	0.216	0.764	0.22	0.747	0.223	0.766	0.234	0.789	0.236	0.767	0.251
20230130	5	9	0.762	0.221	0.749	0.222	0.743	0.219	0.767	0.229	0.753	0.235	0.767	0.243	0.79	0.251	0.773	0.271
20230130	5	10	0.778	0.232	0.764	0.23	0.756	0.227	0.78	0.246	0.765	0.253	0.775	0.262	0.802	0.27	0.784	0.307
20230130	5	11	0.789	0.249	0.772	0.242	0.768	0.242	0.792	0.268	0.777	0.279	0.783	0.288	0.814	0.3	0.792	0.349
20230130	5	12	0.797	0.276	0.781	0.264	0.776	0.264	0.797	0.299	0.785	0.315	0.798	0.325	0.82	0.341	0.799	0.402
20230130	5	13	0.799	0.312	0.785	0.294	0.782	0.297	0.799	0.336	0.789	0.359	0.8	0.37	0.823	0.39	0.803	0.464
20230130	5	14	0.799	0.358	0.786	0.333	0.781	0.336	0.801	0.39	0.787	0.415	0.795	0.426	0.82	0.449	0.803	0.519
20230130	5	15	0.801	0.422	0.788	0.389	0.781	0.393	0.799	0.446	0.787	0.474	0.795	0.484	0.82	0.505	0.803	0.575
20230130	5	16	0.802	0.482	0.786	0.451	0.78	0.454	0.796	0.499	0.787	0.526	0.793	0.535	0.818	0.554	0.804	0.612
20230130	5	17	0.803	0.543	0.788	0.51	0.781	0.512	0.798	0.548	0.785	0.578	0.794	0.587	0.821	0.602	0.805	0.617
20230130	5	18	0.805	0.589	0.79	0.57	0.781	0.571	0.794	0.576	0.786	0.599	0.795	0.603	0.818	0.609	0.808	0.619
20230130	5	19	0.808	0.607	0.791	0.599	0.781	0.599	0.793	0.59	0.787	0.592	0.795	0.599	0.819	0.608	0.809	0.621
20230130	5	20	0.812	0.614	0.793	0.609	0.782	0.61	0.795	0.597	0.788	0.595	0.797	0.602	0.823	0.609	0.812	0.62
20230130	5	21	0.814	0.616	0.796	0.612	0.783	0.613	0.798	0.596	0.792	0.595	0.799	0.603	0.827	0.609	0.816	0.623
20230130	5	22	0.817	0.615	0.796	0.613	0.786	0.613	0.801	0.594	0.794	0.593	0.801	0.601	0.829	0.607	0.817	0.616
20230130	5	23	0.82	0.614	0.799	0.61	0.788	0.612	0.803	0.591	0.796	0.589	0.804	0.599	0.831	0.604	0.82	0.612
20230204	10	0	0.243	0.204	0.24	0.205	0.253	0.215	0.234	0.204	0.25	0.202	0.239	0.203	0.233	0.204	0.24	0.209
20230204	10	1	0.3	0.204	0.295	0.203	0.312	0.267	0.294	0.244	0.309	0.201	0.305	0.202	0.297	0.202	0.322	0.208
20230204	10	2	0.475	0.206	0.466	0.204	0.474	0.211	0.452	0.202	0.485	0.202	0.472	0.204	0.467	0.201	0.519	0.208
20230204	10	3	0.581	0.205	0.563	0.204	0.586	0.211	0.57	0.203	0.601	0.203	0.575	0.204	0.572	0.201	0.61	0.209
20230204	10	4	0.606	0.205	0.602	0.205	0.629	0.219	0.599	0.203	0.626	0.203	0.6	0.207	0.606	0.202	0.64	0.21
20230204	10	5	0.618	0.204	0.62	0.206	0.649	0.21	0.604	0.204	0.643	0.205	0.64	0.207	0.626	0.203	0.685	0.21
20230204	10	6	0.664	0.204	0.671	0.206	0.708	0.209	0.661	0.203	0.684	0.205	0.67	0.207	0.672	0.203	0.711	0.21
20230204	10	7	0.707	0.204	0.718	0.205	0.741	0.208	0.697	0.203	0.714	0.205	0.712	0.208	0.71	0.203	0.736	0.21
20230204	10	8	0.738	0.205	0.737	0.205	0.755	0.208	0.722	0.203	0.736	0.206	0.73	0.215	0.728	0.203	0.752	0.213
20230204	10	9	0.752	0.207	0.748	0.209	0.759	0.208	0.727	0.204	0.744	0.213	0.737	0.225	0.74	0.204	0.761	0.217
20230204	10	10	0.759	0.21	0.755	0.213	0.767	0.21	0.734	0.206	0.759	0.223	0.748	0.241	0.751	0.207	0.771	0.227
20230204	10	11	0.77	0.218	0.761	0.218	0.774	0.215	0.745	0.212	0.762	0.24	0.757	0.268	0.758	0.212	0.778	0.246
20230204	10	12	0.772	0.234	0.765	0.231	0.785	0.225	0.75	0.224	0.769	0.269	0.763	0.309	0.763	0.224	0.78	0.276
20230204	10	13	0.773	0.26	0.768	0.255	0.786	0.244	0.752	0.245	0.771	0.311	0.768	0.359	0.764	0.246	0.78	0.319
20230204	10	14	0.771	0.298	0.771	0.291	0.782	0.274	0.753	0.276	0.769	0.361	0.766	0.418	0.766	0.279	0.778	0.371
20230204	10	15	0.773	0.345	0.773	0.338	0.781	0.317	0.757	0.316	0.769	0.421	0.76	0.481	0.762	0.324	0.781	0.432
20230204	10	16	0.772	0.397	0.776	0.4	0.778	0.364	0.757	0.368	0.771	0.482	0.76	0.534	0.764	0.377	0.777	0.49
20230204	10	17	0.772	0.454	0.772	0.465	0.777	0.423	0.757	0.432	0.771	0.534	0.76	0.578	0.761	0.436	0.778	0.541
20230204	10	18	0.771	0.509	0.771	0.519	0.782	0.481	0.757	0.488	0.765	0.578	0.759	0.585	0.759	0.491	0.774	0.579
20230204	10	19	0.77	0.551	0.771	0.559	0.78	0.535	0.757	0.537	0.764	0.577	0.759	0.589	0.758	0.545	0.772	0.575
20230204	10	20	0.772	0.566	0.771	0.588	0.778	0.569	0.759	0.566	0.764	0.58	0.759	0.598	0.759	0.574	0.772	0.577
20230204	10	21	0.772	0.571	0.772	0.608	0.776	0.583	0.761	0.588	0.765	0.588	0.76	0.604	0.762	0.558	0.774	0.578
20230204	10	22	0.774	0.577	0.774	0.617	0.774	0.588	0.763	0.6	0.766	0.593	0.763	0.609	0.763	0.559	0.774	0.579
20230204	10	23	0.776	0.59	0.776	0.623	0.774	0.592	0.766	0.606	0.768	0.596	0.765	0.611	0.766	0.56	0.777	0.58
20230209	15	0	0.243	0.224	0.244	0.212	0.242	0.208	0.247	0.227	0.237	0.226	0.237	0.215	0.233	0.208	0.264	0.238
20230209	15	1	0.283	0.219	0.286	0.243	0.284	0.207	0.286	0.224	0.277	0.22	0.278	0.21	0.275	0.205	0.318	0.227
20230209	15	2	0.394	0.217	0.418	0.211	0.4	0.207	0.417	0.222	0.401	0.216	0.413	0.208	0.404	0.206	0.467	0.225
20230209	15	3	0.488	0.218	0.53	0.212	0.525	0.207	0.554	0.221	0.525	0.215	0.526	0.208	0.519	0.207	0.582	0.226
20230209	15	4	0.523	0.217	0.555	0.214	0.558	0.208	0.589	0.22	0.574	0.214	0.582	0.209	0.561	0.207	0.621	0.226
20230209	15	5	0.578	0.216	0.607	0.214	0.592	0.208	0.605	0.22	0.615	0.214	0.636	0.21	0.607	0.205	0.653	0.226
20230209	15	6	0.635	0.214	0.663	0.214	0.678	0.207	0.661	0.22	0.678	0.215	0.669	0.212	0.652	0.204	0.714	0.226
20230209	15	7	0.689	0.213	0.703	0.214	0.712	0.207	0.702	0.22	0.698	0.214	0.709	0.213	0.686	0.203	0.736	0.228
20230209	15	8	0.705	0.213	0.716	0.217	0.724	0.206	0.718	0.22	0.716	0.214	0.724	0.221	0.701	0.203	0.738	0.233
20230209	15	9	0.722	0.213	0.734	0.223	0.733	0.207	0.728	0.222	0.73	0.218	0.734	0.23	0.714	0.203	0.748	0.241
20230209	15	10	0.736	0.212	0.746	0.235	0.744	0.208	0.739	0.228	0.741	0.225	0.743	0.253	0.726	0.203	0.758	0.257
20230209	15	11	0.746	0.213	0.756	0.258	0.757	0.213	0.748	0.239	0.752	0.239	0.757	0.284	0.737	0.203	0.765	0.286
20230209	15	12	0.751	0.216	0.759	0.294	0.763	0.221	0.755	0.26	0.756	0.266	0.758	0.327	0.742	0.205	0.77	0.326
20230209	15	13	0.755	0.223	0.758	0.338	0.765	0.238	0.753	0.293	0.755	0.308	0.763	0.383	0.746	0.208	0.77	0.376
20230209	15	14	0.754	0.236	0.758	0.405	0.764	0.267	0.754	0.334	0.755	0.362	0.762	0.449	0.749	0.214	0.771	0.437
20230209	15	15	0.757	0.261	0.756	0.473	0.76	0.309	0.754	0.396	0.754	0.426	0.766	0.512	0.753	0.225	0.769	0.498
20230209	15	16	0.759	0.3	0.755	0.526	0.76	0.364	0.755	0.466	0.755	0.492	0.764	0.562	0.753	0.246	0.767	0.548
