Plate	Time	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
Plate_1	0	0.226	0.254	0.23	0.215	0.223	0.218	0.221	0.224	0.168	0.248	0.259	0.268	0.214	0.212	0.219	0.223	0.215	0.22	0.217	0.221	0.162	0.217	0.24	0.232	0.225	0.248	0.243	0.233	0.237	0.218	0.218	0.23	0.162	0.229	0.218	0.22	0.229	0.218	0.222	0.208	0.214	0.209	0.215	0.227	0.161	0.234	0.235	0.228	0.235	0.218	0.233	0.209	0.222	0.232	0.224	0.241	0.163	0.221	0.231	0.245	0.249	0.24	0.239	0.229	0.246	0.228	0.227	0.231	0.163	0.218	0.232	0.228	0.251	0.252	0.24	0.227	0.259	0.234	0.246	0.237	0.194	0.237	0.24	0.247	0.243	0.232	0.239	0.207	0.229	0.229	0.233	0.224	0.169	0.237	0.234	0.219
Plate_1	1	0.25	0.349	0.279	0.247	0.278	0.27	0.279	0.291	0.164	0.374	0.391	0.425	0.228	0.255	0.283	0.256	0.274	0.303	0.329	0.29	0.163	0.27	0.343	0.308	0.243	0.317	0.333	0.323	0.348	0.311	0.327	0.353	0.186	0.3	0.279	0.263	0.248	0.259	0.314	0.289	0.314	0.289	0.327	0.371	0.17	0.326	0.326	0.314	0.266	0.263	0.313	0.282	0.328	0.353	0.362	0.378	0.208	0.259	0.297	0.325	0.304	0.307	0.335	0.279	0.372	0.362	0.352	0.328	0.191	0.261	0.311	0.294	0.344	0.364	0.353	0.29	0.392	0.342	0.361	0.314	0.168	0.348	0.348	0.366	0.328	0.354	0.364	0.247	0.338	0.34	0.326	0.252	0.163	0.339	0.36	0.32
Plate_1	2	0.335	0.531	0.457	0.379	0.464	0.448	0.46	0.483	0.162	0.521	0.587	0.611	0.276	0.401	0.422	0.381	0.397	0.442	0.439	0.434	0.16	0.417	0.531	0.495	0.295	0.498	0.535	0.41	0.504	0.449	0.478	0.494	0.171	0.452	0.455	0.407	0.341	0.421	0.447	0.368	0.413	0.4	0.411	0.513	0.159	0.506	0.545	0.494	0.383	0.428	0.462	0.35	0.454	0.517	0.478	0.569	0.16	0.408	0.495	0.532	0.456	0.499	0.539	0.418	0.528	0.51	0.495	0.49	0.158	0.409	0.507	0.49	0.508	0.577	0.586	0.482	0.626	0.567	0.581	0.47	0.186	0.535	0.571	0.591	0.489	0.571	0.587	0.409	0.562	0.59	0.547	0.272	0.161	0.54	0.587	0.546
Plate_1	3	0.437	0.585	0.557	0.496	0.556	0.565	0.564	0.554	0.163	0.584	0.641	0.647	0.364	0.506	0.54	0.496	0.513	0.554	0.571	0.547	0.16	0.499	0.637	0.507	0.392	0.58	0.625	0.519	0.605	0.547	0.577	0.591	0.158	0.533	0.548	0.471	0.474	0.586	0.575	0.489	0.559	0.507	0.545	0.614	0.159	0.592	0.633	0.527	0.499	0.547	0.572	0.47	0.572	0.646	0.587	0.693	0.16	0.505	0.611	0.632	0.543	0.588	0.648	0.543	0.639	0.622	0.592	0.598	0.157	0.506	0.591	0.598	0.555	0.658	0.694	0.64	0.737	0.691	0.699	0.537	0.189	0.617	0.665	0.687	0.551	0.645	0.673	0.534	0.66	0.704	0.587	0.271	0.161	0.619	0.66	0.62
Plate_1	4	0.467	0.588	0.571	0.514	0.55	0.558	0.554	0.545	0.162	0.627	0.66	0.716	0.414	0.51	0.541	0.526	0.525	0.573	0.58	0.552	0.159	0.511	0.646	0.579	0.434	0.619	0.649	0.543	0.61	0.567	0.585	0.593	0.158	0.556	0.563	0.556	0.508	0.631	0.596	0.514	0.586	0.531	0.546	0.635	0.159	0.609	0.644	0.588	0.49	0.556	0.606	0.504	0.6	0.674	0.62	0.743	0.16	0.53	0.639	0.652	0.498	0.601	0.662	0.578	0.673	0.664	0.6	0.614	0.157	0.529	0.632	0.633	0.523	0.665	0.701	0.677	0.764	0.726	0.738	0.554	0.164	0.653	0.676	0.723	0.514	0.656	0.674	0.567	0.662	0.708	0.605	0.258	0.161	0.662	0.697	0.637
Plate_1	5	0.455	0.654	0.594	0.501	0.592	0.589	0.579	0.591	0.163	0.692	0.727	0.774	0.415	0.516	0.526	0.511	0.539	0.566	0.593	0.577	0.159	0.569	0.707	0.68	0.426	0.678	0.696	0.557	0.661	0.598	0.645	0.646	0.164	0.618	0.628	0.653	0.457	0.649	0.638	0.504	0.587	0.551	0.57	0.657	0.158	0.664	0.693	0.674	0.465	0.59	0.655	0.502	0.625	0.774	0.661	0.788	0.159	0.572	0.68	0.697	0.486	0.652	0.675	0.57	0.684	0.687	0.652	0.651	0.156	0.574	0.681	0.686	0.518	0.709	0.706	0.66	0.755	0.728	0.747	0.586	0.161	0.709	0.728	0.759	0.499	0.692	0.715	0.553	0.666	0.724	0.646	0.243	0.161	0.705	0.747	0.667
Plate_1	6	0.469	0.708	0.672	0.526	0.667	0.672	0.657	0.658	0.161	0.711	0.746	0.752	0.431	0.601	0.602	0.525	0.612	0.645	0.662	0.648	0.159	0.635	0.724	0.696	0.44	0.719	0.738	0.599	0.687	0.654	0.679	0.731	0.173	0.69	0.685	0.672	0.456	0.664	0.682	0.539	0.639	0.616	0.634	0.728	0.158	0.71	0.728	0.686	0.477	0.662	0.708	0.528	0.683	0.823	0.708	0.825	0.159	0.638	0.719	0.712	0.506	0.7	0.721	0.584	0.731	0.725	0.708	0.711	0.156	0.65	0.725	0.713	0.543	0.743	0.74	0.638	0.768	0.753	0.798	0.63	0.169	0.733	0.741	0.751	0.519	0.722	0.758	0.544	0.699	0.775	0.687	0.229	0.161	0.748	0.746	0.714
Plate_1	7	0.498	0.711	0.707	0.596	0.694	0.691	0.683	0.685	0.161	0.709	0.724	0.765	0.464	0.661	0.662	0.585	0.669	0.701	0.687	0.685	0.158	0.678	0.716	0.695	0.473	0.719	0.737	0.645	0.695	0.673	0.687	0.715	0.157	0.697	0.682	0.669	0.487	0.712	0.713	0.596	0.689	0.662	0.682	0.719	0.158	0.716	0.711	0.694	0.511	0.696	0.736	0.572	0.702	0.807	0.727	0.799	0.159	0.676	0.709	0.702	0.541	0.723	0.731	0.621	0.743	0.733	0.728	0.735	0.156	0.686	0.703	0.704	0.582	0.738	0.737	0.658	0.753	0.734	0.772	0.65	0.159	0.736	0.729	0.745	0.557	0.72	0.753	0.589	0.712	0.748	0.709	0.219	0.161	0.729	0.741	0.71
Plate_1	8	0.547	0.718	0.716	0.641	0.703	0.695	0.69	0.694	0.162	0.732	0.737	0.786	0.515	0.671	0.682	0.627	0.684	0.702	0.688	0.705	0.158	0.686	0.721	0.713	0.527	0.726	0.746	0.66	0.706	0.683	0.694	0.725	0.164	0.707	0.675	0.689	0.534	0.712	0.713	0.637	0.686	0.648	0.685	0.723	0.158	0.731	0.719	0.716	0.56	0.69	0.74	0.625	0.693	0.755	0.719	0.788	0.159	0.68	0.713	0.714	0.59	0.726	0.732	0.659	0.746	0.746	0.726	0.741	0.155	0.689	0.712	0.713	0.635	0.736	0.745	0.681	0.779	0.736	0.788	0.682	0.165	0.748	0.736	0.749	0.603	0.73	0.752	0.636	0.715	0.755	0.728	0.213	0.161	0.736	0.775	0.71
Plate_1	9	0.611	0.74	0.721	0.642	0.723	0.709	0.702	0.708	0.161	0.74	0.742	0.793	0.582	0.68	0.68	0.626	0.69	0.708	0.697	0.711	0.157	0.706	0.724	0.726	0.588	0.734	0.753	0.665	0.715	0.696	0.704	0.723	0.157	0.719	0.685	0.703	0.592	0.713	0.722	0.64	0.697	0.661	0.697	0.734	0.157	0.737	0.725	0.734	0.611	0.703	0.738	0.634	0.716	0.752	0.731	0.783	0.158	0.695	0.719	0.724	0.638	0.732	0.748	0.651	0.749	0.75	0.732	0.767	0.155	0.703	0.728	0.723	0.687	0.75	0.764	0.671	0.787	0.753	0.787	0.715	0.187	0.764	0.748	0.762	0.655	0.746	0.768	0.643	0.726	0.772	0.75	0.21	0.161	0.757	0.781	0.724
