Plate	Time	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
Plate_1	0	0.204	0.24	0.197	0.253	0.202	0.24	0.241	0.198	0.245	0.201	0.232	0.195	0.212	0.251	0.206	0.239	0.209	0.232	0.239	0.194	0.243	0.197	0.239	0.197	0.196	0.234	0.209	0.261	0.197	0.256	0.244	0.209	0.294	0.196	0.232	0.196	0.207	0.243	0.209	0.262	0.198	0.243	0.249	0.209	0.25	0.202	0.241	0.196	0.201	0.242	0.201	0.25	0.199	0.256	0.235	0.197	0.238	0.196	0.229	0.192	0.198	0.245	0.201	0.242	0.214	0.239	0.258	0.196	0.249	0.204	0.236	0.195	0.196	0.243	0.198	0.295	0.194	0.269	0.249	0.214	0.247	0.21	0.237	0.204	0.208	0.24	0.214	0.242	0.206	0.242	0.248	0.2	0.246	0.204	0.231	0.19
Plate_1	1	0.202	0.262	0.2	0.276	0.255	0.341	0.311	0.234	0.294	0.204	0.254	0.194	0.207	0.272	0.205	0.324	0.265	0.312	0.324	0.246	0.295	0.263	0.263	0.197	0.194	0.258	0.289	0.34	0.271	0.352	0.354	0.26	0.363	0.237	0.257	0.196	0.205	0.266	0.255	0.332	0.275	0.362	0.358	0.27	0.334	0.245	0.262	0.196	0.202	0.266	0.288	0.308	0.27	0.349	0.328	0.267	0.315	0.197	0.252	0.192	0.197	0.269	0.237	0.333	0.289	0.321	0.343	0.282	0.29	0.205	0.263	0.194	0.195	0.273	0.197	0.314	0.195	0.667	0.27	0.211	0.265	0.21	0.265	0.2	0.205	0.273	0.212	0.268	0.204	0.273	0.275	0.199	0.269	0.201	0.26	0.195
Plate_1	2	0.202	0.298	0.201	0.318	0.201	0.32	0.319	0.198	0.314	0.204	0.291	0.194	0.206	0.311	0.203	0.293	0.205	0.3	0.311	0.193	0.299	0.196	0.299	0.196	0.194	0.295	0.205	0.314	0.197	0.327	0.319	0.208	0.345	0.196	0.301	0.196	0.205	0.303	0.207	0.316	0.198	0.325	0.324	0.205	0.309	0.197	0.297	0.196	0.202	0.307	0.2	0.3	0.199	0.305	0.304	0.197	0.288	0.195	0.294	0.192	0.197	0.307	0.198	0.298	0.212	0.31	0.323	0.195	0.304	0.201	0.305	0.193	0.193	0.323	0.197	0.358	0.195	0.547	0.317	0.209	0.31	0.208	0.31	0.199	0.204	0.329	0.212	0.313	0.204	0.329	0.327	0.199	0.308	0.201	0.311	0.195
Plate_1	3	0.202	0.344	0.201	0.386	0.202	0.386	0.391	0.199	0.383	0.204	0.341	0.194	0.205	0.367	0.202	0.351	0.205	0.374	0.391	0.193	0.358	0.196	0.354	0.197	0.194	0.353	0.205	0.371	0.197	0.373	0.368	0.207	0.401	0.196	0.374	0.196	0.205	0.375	0.207	0.379	0.198	0.376	0.373	0.204	0.372	0.197	0.361	0.196	0.201	0.362	0.2	0.347	0.199	0.352	0.36	0.197	0.333	0.195	0.355	0.192	0.197	0.373	0.197	0.352	0.212	0.381	0.401	0.195	0.36	0.2	0.377	0.192	0.192	0.381	0.198	0.437	0.195	0.613	0.398	0.208	0.402	0.207	0.37	0.198	0.204	0.408	0.212	0.377	0.203	0.408	0.408	0.199	0.365	0.2	0.387	0.193
Plate_1	4	0.202	0.396	0.201	0.463	0.202	0.445	0.452	0.199	0.462	0.204	0.39	0.194	0.204	0.423	0.202	0.413	0.203	0.435	0.454	0.194	0.419	0.196	0.403	0.196	0.195	0.42	0.204	0.44	0.197	0.418	0.413	0.206	0.478	0.196	0.437	0.196	0.205	0.439	0.206	0.454	0.199	0.424	0.423	0.203	0.445	0.196	0.416	0.197	0.201	0.425	0.2	0.399	0.199	0.4	0.401	0.197	0.385	0.196	0.405	0.192	0.197	0.425	0.197	0.408	0.212	0.435	0.453	0.195	0.412	0.198	0.428	0.192	0.192	0.434	0.198	0.53	0.195	0.825	0.46	0.208	0.5	0.208	0.419	0.197	0.204	0.453	0.212	0.434	0.203	0.462	0.457	0.199	0.42	0.2	0.429	0.192
Plate_1	5	0.202	0.471	0.2	0.569	0.202	0.536	0.546	0.198	0.569	0.203	0.468	0.194	0.203	0.496	0.202	0.488	0.203	0.512	0.538	0.194	0.491	0.195	0.481	0.196	0.195	0.494	0.204	0.523	0.197	0.493	0.493	0.206	0.562	0.196	0.516	0.196	0.205	0.506	0.206	0.54	0.199	0.509	0.517	0.202	0.531	0.196	0.477	0.197	0.201	0.493	0.2	0.456	0.198	0.457	0.461	0.197	0.444	0.196	0.473	0.193	0.197	0.496	0.197	0.468	0.212	0.512	0.53	0.195	0.474	0.196	0.496	0.192	0.192	0.522	0.198	0.629	0.195	0.62	0.534	0.207	0.594	0.209	0.502	0.197	0.204	0.51	0.212	0.514	0.202	0.558	0.55	0.199	0.496	0.2	0.477	0.191
Plate_1	6	0.202	0.572	0.2	0.667	0.202	0.64	0.647	0.199	0.666	0.203	0.568	0.194	0.203	0.6	0.202	0.569	0.202	0.614	0.639	0.194	0.573	0.195	0.585	0.196	0.195	0.591	0.216	0.612	0.197	0.592	0.592	0.206	0.613	0.196	0.611	0.196	0.205	0.598	0.206	0.626	0.199	0.613	0.626	0.201	0.616	0.197	0.566	0.197	0.201	0.582	0.2	0.54	0.198	0.544	0.551	0.197	0.526	0.196	0.565	0.193	0.197	0.595	0.197	0.562	0.212	0.603	0.62	0.195	0.566	0.196	0.592	0.192	0.192	0.626	0.198	0.699	0.195	0.777	0.623	0.207	0.669	0.208	0.607	0.197	0.203	0.593	0.212	0.611	0.203	0.659	0.649	0.199	0.592	0.2	0.557	0.191
Plate_1	7	0.202	0.657	0.2	0.719	0.201	0.706	0.706	0.199	0.703	0.205	0.648	0.194	0.203	0.688	0.201	0.652	0.202	0.683	0.701	0.194	0.658	0.195	0.663	0.196	0.195	0.678	0.204	0.686	0.197	0.673	0.673	0.206	0.686	0.196	0.684	0.196	0.205	0.68	0.206	0.695	0.198	0.689	0.687	0.201	0.687	0.196	0.651	0.197	0.201	0.665	0.199	0.632	0.198	0.635	0.64	0.197	0.62	0.195	0.651	0.192	0.197	0.679	0.196	0.659	0.211	0.68	0.689	0.195	0.66	0.195	0.673	0.192	0.192	0.694	0.198	0.723	0.195	0.945	0.693	0.206	0.719	0.207	0.678	0.197	0.203	0.667	0.212	0.697	0.202	0.704	0.694	0.199	0.678	0.199	0.632	0.19
Plate_1	8	0.202	0.675	0.2	0.732	0.201	0.716	0.717	0.199	0.72	0.203	0.659	0.195	0.202	0.704	0.201	0.696	0.202	0.686	0.703	0.194	0.694	0.195	0.672	0.196	0.195	0.703	0.207	0.734	0.197	0.691	0.69	0.206	0.726	0.196	0.69	0.197	0.205	0.712	0.205	0.744	0.199	0.698	0.692	0.201	0.731	0.197	0.684	0.197	0.201	0.695	0.199	0.7	0.198	0.687	0.681	0.197	0.683	0.195	0.676	0.192	0.197	0.7	0.196	0.708	0.208	0.698	0.702	0.195	0.703	0.195	0.689	0.192	0.192	0.704	0.199	0.732	0.195	0.992	0.702	0.206	0.729	0.207	0.688	0.197	0.203	0.694	0.211	0.719	0.203	0.715	0.706	0.199	0.7	0.2	0.661	0.19
Plate_1	9	0.202	0.696	0.2	0.745	0.201	0.734	0.735	0.199	0.738	0.203	0.685	0.195	0.201	0.724	0.201	0.7	0.202	0.707	0.724	0.194	0.703	0.195	0.697	0.196	0.195	0.715	0.21	0.749	0.197	0.71	0.707	0.206	0.74	0.196	0.712	0.197	0.204	0.723	0.204	0.758	0.199	0.718	0.712	0.2	0.746	0.197	0.696	0.197	0.201	0.709	0.199	0.713	0.198	0.697	0.693	0.197	0.696	0.195	0.692	0.193	0.197	0.718	0.196	0.725	0.208	0.712	0.719	0.195	0.719	0.195	0.709	0.192	0.192	0.722	0.199	0.743	0.195	0.746	0.716	0.205	0.74	0.209	0.707	0.197	0.203	0.708	0.21	0.74	0.203	0.739	0.728	0.199	0.723	0.2	0.673	0.191
