ID	Well	Column	Row_num	Isolate	Group
A1_NC	A1	1	8	NC	NC
B1_NC	B1	1	7	NC	NC
C1_NC	C1	1	6	NC	NC
D1_NC	D1	1	5	NC	NC
E1_NC	E1	1	4	NC	NC
F1_NC	F1	1	3	NC	NC
G1_NC	G1	1	2	NC	NC
H1_NC	H1	1	1	NC	NC
A2_Parental_1	A2	2	8	Parental_1	Parental
B2_Parental_2	B2	2	7	Parental_2	Parental
C2_Parental_3	C2	2	6	Parental_3	Parental
D2_Parental_4	D2	2	5	Parental_4	Parental
E2_Parental_5	E2	2	4	Parental_5	Parental
F2_Parental_6	F2	2	3	Parental_6	Parental
G2_Parental_7	G2	2	2	Parental_7	Parental
H2_Parental_8	H2	2	1	Parental_8	Parental
A3_NC	A3	3	8	NC	NC
B3_NC	B3	3	7	NC	NC
C3_NC	C3	3	6	NC	NC
D3_NC	D3	3	5	NC	NC
E3_NC	E3	3	4	NC	NC
F3_NC	F3	3	3	NC	NC
G3_NC	G3	3	2	NC	NC
H3_NC	H3	3	1	NC	NC
A4_Lop50_evo_1	A4	4	8	Lop50_evo_1	Lop50_evo
B4_Lop50_evo_2	B4	4	7	Lop50_evo_2	Lop50_evo
C4_Lop50_evo_3	C4	4	6	Lop50_evo_3	Lop50_evo
D4_Lop50_evo_4	D4	4	5	Lop50_evo_4	Lop50_evo
E4_Lop50_evo_5	E4	4	4	Lop50_evo_5	Lop50_evo
F4_Lop50_evo_6	F4	4	3	Lop50_evo_6	Lop50_evo
G4_Lop50_evo_7	G4	4	2	Lop50_evo_7	Lop50_evo
H4_Lop50_evo_8	H4	4	1	Lop50_evo_8	Lop50_evo
A5_NC	A5	5	8	NC	NC
B5_NC	B5	5	7	NC	NC
C5_NC	C5	5	6	NC	NC
D5_NC	D5	5	5	NC	NC
E5_NC	E5	5	4	NC	NC
F5_NC	F5	5	3	NC	NC
G5_NC	G5	5	2	NC	NC
H5_NC	H5	5	1	NC	NC
A6_DMSO_evo_1	A6	6	8	DMSO_evo_1	DMSO_evo
B6_DMSO_evo_2	B6	6	7	DMSO_evo_2	DMSO_evo
C6_DMSO_evo_3	C6	6	6	DMSO_evo_3	DMSO_evo
D6_DMSO_evo_4	D6	6	5	DMSO_evo_4	DMSO_evo
E6_DMSO_evo_5	E6	6	4	DMSO_evo_5	DMSO_evo
F6_DMSO_evo_6	F6	6	3	DMSO_evo_6	DMSO_evo
G6_DMSO_evo_7	G6	6	2	DMSO_evo_7	DMSO_evo
H6_DMSO_evo_8	H6	6	1	DMSO_evo_8	DMSO_evo
A7_DMSO_evo_1	A7	7	8	DMSO_evo_1	DMSO_evo
B7_DMSO_evo_2	B7	7	7	DMSO_evo_2	DMSO_evo
C7_DMSO_evo_3	C7	7	6	DMSO_evo_3	DMSO_evo
D7_DMSO_evo_4	D7	7	5	DMSO_evo_4	DMSO_evo
E7_DMSO_evo_5	E7	7	4	DMSO_evo_5	DMSO_evo
F7_DMSO_evo_6	F7	7	3	DMSO_evo_6	DMSO_evo
G7_DMSO_evo_7	G7	7	2	DMSO_evo_7	DMSO_evo
H7_DMSO_evo_8	H7	7	1	DMSO_evo_8	DMSO_evo
A8_NC	A8	8	8	NC	NC
B8_NC	B8	8	7	NC	NC
C8_NC	C8	8	6	NC	NC
D8_NC	D8	8	5	NC	NC
E8_NC	E8	8	4	NC	NC
F8_NC	F8	8	3	NC	NC
G8_NC	G8	8	2	NC	NC
H8_NC	H8	8	1	NC	NC
A9_Lop50_evo_1	A9	9	8	Lop50_evo_1	Lop50_evo
B9_Lop50_evo_2	B9	9	7	Lop50_evo_2	Lop50_evo
C9_Lop50_evo_3	C9	9	6	Lop50_evo_3	Lop50_evo
D9_Lop50_evo_4	D9	9	5	Lop50_evo_4	Lop50_evo
E9_Lop50_evo_5	E9	9	4	Lop50_evo_5	Lop50_evo
F9_Lop50_evo_6	F9	9	3	Lop50_evo_6	Lop50_evo
G9_Lop50_evo_7	G9	9	2	Lop50_evo_7	Lop50_evo
H9_Lop50_evo_8	H9	9	1	Lop50_evo_8	Lop50_evo
A10_NC	A10	10	8	NC	NC
B10_NC	B10	10	7	NC	NC
C10_NC	C10	10	6	NC	NC
D10_NC	D10	10	5	NC	NC
E10_NC	E10	10	4	NC	NC
F10_NC	F10	10	3	NC	NC
G10_NC	G10	10	2	NC	NC
H10_NC	H10	10	1	NC	NC
A11_Parental_1	A11	11	8	Parental_1	Parental
B11_Parental_2	B11	11	7	Parental_2	Parental
C11_Parental_3	C11	11	6	Parental_3	Parental
D11_Parental_4	D11	11	5	Parental_4	Parental
E11_Parental_5	E11	11	4	Parental_5	Parental
F11_Parental_6	F11	11	3	Parental_6	Parental
G11_Parental_7	G11	11	2	Parental_7	Parental
H11_Parental_8	H11	11	1	Parental_8	Parental
A12_NC	A12	12	8	NC	NC
B12_NC	B12	12	7	NC	NC
C12_NC	C12	12	6	NC	NC
D12_NC	D12	12	5	NC	NC
E12_NC	E12	12	4	NC	NC
F12_NC	F12	12	3	NC	NC
G12_NC	G12	12	2	NC	NC
H12_NC	H12	12	1	NC	NC
