Sample_ID	Sample_ID_fq	Well	Column	Row_num	Plate	Compound	Concentration	Solvent	Individual
Plate1A1	Plate1A1_R2	A1	1	8	1	Acarbose	25	DMSO	No
Plate1A1	Plate1A1_R1	A1	1	8	1	Acarbose	25	DMSO	No
Plate1A10	Plate1A10_R1	A10	10	8	1	Cypermethrin	25	DMSO	No
Plate1A10	Plate1A10_R2	A10	10	8	1	Cypermethrin	25	DMSO	No
Plate1A11	Plate1A11_R1	A11	11	8	1	Digoxin	25	DMSO	No
Plate1A11	Plate1A11_R2	A11	11	8	1	Digoxin	25	DMSO	No
Plate1A12	Plate1A12_R2	A12	12	8	1	Water_control	0	Water_control	No
Plate1A12	Plate1A12_R1	A12	12	8	1	Water_control	0	Water_control	No
Plate1A2	Plate1A2_R2	A2	2	8	1	Acesulfame_K	25	DMSO	No
Plate1A2	Plate1A2_R1	A2	2	8	1	Acesulfame_K	25	DMSO	No
Plate1A3	Plate1A3_R2	A3	3	8	1	Acetaminophen	25	DMSO	No
Plate1A3	Plate1A3_R1	A3	3	8	1	Acetaminophen	25	DMSO	No
Plate1A4	Plate1A4_R1	A4	4	8	1	Aripiprazole	25	DMSO	No
Plate1A4	Plate1A4_R2	A4	4	8	1	Aripiprazole	25	DMSO	No
Plate1A5	Plate1A5_R1	A5	5	8	1	Aspartame	25	DMSO	No
Plate1A5	Plate1A5_R2	A5	5	8	1	Aspartame	25	DMSO	No
Plate1A6	Plate1A6_R2	A6	6	8	1	Aspirin	25	DMSO	No
Plate1A6	Plate1A6_R1	A6	6	8	1	Aspirin	25	DMSO	No
Plate1A7	Plate1A7_R1	A7	7	8	1	Caffeine	25	DMSO	No
Plate1A7	Plate1A7_R2	A7	7	8	1	Caffeine	25	DMSO	No
Plate1A8	Plate1A8_R1	A8	8	8	1	Chlorpyrifos	25	DMSO	No
Plate1A8	Plate1A8_R2	A8	8	8	1	Chlorpyrifos	25	DMSO	No
Plate1B1	Plate1B1_R2	B1	1	7	1	Acarbose	25	DMSO	No
Plate1B1	Plate1B1_R1	B1	1	7	1	Acarbose	25	DMSO	No
Plate1B10	Plate1B10_R2	B10	10	7	1	Cypermethrin	25	DMSO	No
Plate1B10	Plate1B10_R1	B10	10	7	1	Cypermethrin	25	DMSO	No
Plate1B11	Plate1B11_R1	B11	11	7	1	Digoxin	25	DMSO	No
Plate1B11	Plate1B11_R2	B11	11	7	1	Digoxin	25	DMSO	No
Plate1B12	Plate1B12_R2	B12	12	7	1	Water_control	0	Water_control	No
Plate1B12	Plate1B12_R1	B12	12	7	1	Water_control	0	Water_control	No
Plate1B2	Plate1B2_R1	B2	2	7	1	Acesulfame_K	25	DMSO	No
Plate1B2	Plate1B2_R2	B2	2	7	1	Acesulfame_K	25	DMSO	No
Plate1B3	Plate1B3_R1	B3	3	7	1	Acetaminophen	25	DMSO	No
Plate1B3	Plate1B3_R2	B3	3	7	1	Acetaminophen	25	DMSO	No
Plate1B4	Plate1B4_R2	B4	4	7	1	Aripiprazole	25	DMSO	No
