Effect	Effect_type	Shape
frameshift_variant	Frameshift	16
frameshift_variant&stop_lost&splice_region_variant	Frameshift	16
frameshift_variant&stop_gained	Frameshift	16
frameshift_variant&start_lost	Frameshift	16
missense_variant	Missense	18
Non-coding_region_variant	Non_coding_region	1
splice_region_variant&stop_retained_variant	Others 	10
initiator_codon_variant	Others 	10
disruptive_inframe_deletion	Disruptive inframe deletion	8
stop_lost&conservative_inframe_deletion&splice_region_variant	Others 	10
start_lost	Start_lost	4
stop_gained	Stop_gained	5
stop_lost&splice_region_variant	Others 	10
synonymous_variant	Synonymous	2
