Sample_ID	Well	Column	Row_num	Plate	Compound	Concentration	Solvent	Individual
Plate1A1	A1	1	8	1	Acarbose	25	DMSO	No
Plate1A10	A10	10	8	1	Cypermethrin	25	DMSO	No
Plate1A11	A11	11	8	1	Digoxin	25	DMSO	No
Plate1A12	A12	12	8	1	Water_control	0	Water_control	No
Plate1A2	A2	2	8	1	Acesulfame_K	25	DMSO	No
Plate1A3	A3	3	8	1	Acetaminophen	25	DMSO	No
Plate1A4	A4	4	8	1	Aripiprazole	25	DMSO	No
Plate1A5	A5	5	8	1	Aspartame	25	DMSO	No
Plate1A6	A6	6	8	1	Aspirin	25	DMSO	No
Plate1A7	A7	7	8	1	Caffeine	25	DMSO	No
Plate1A8	A8	8	8	1	Chlorpyrifos	25	DMSO	No
Plate1B1	B1	1	7	1	Acarbose	25	DMSO	No
Plate1B10	B10	10	7	1	Cypermethrin	25	DMSO	No
Plate1B11	B11	11	7	1	Digoxin	25	DMSO	No
Plate1B12	B12	12	7	1	Water_control	0	Water_control	No
Plate1B2	B2	2	7	1	Acesulfame_K	25	DMSO	No
Plate1B3	B3	3	7	1	Acetaminophen	25	DMSO	No
Plate1B4	B4	4	7	1	Aripiprazole	25	DMSO	No
Plate1B5	B5	5	7	1	Aspartame	25	DMSO	No
Plate1B6	B6	6	7	1	Aspirin	25	DMSO	No
Plate1B7	B7	7	7	1	Caffeine	25	DMSO	No
Plate1B8	B8	8	7	1	Chlorpyrifos	25	DMSO	No
Plate1B9	B9	9	7	1	NT5002	0	NA	No
Plate1C1	C1	1	6	1	Acarbose	25	DMSO	No
Plate1C10	C10	10	6	1	Cypermethrin	25	DMSO	No
Plate1C11	C11	11	6	1	Digoxin	25	DMSO	No
Plate1C12	C12	12	6	1	Water_control	0	Water_control	No
Plate1C2	C2	2	6	1	Acesulfame_K	25	DMSO	No
Plate1C3	C3	3	6	1	Acetaminophen	25	DMSO	No
Plate1C4	C4	4	6	1	Aripiprazole	25	DMSO	No
