Group1	Group2	Significance	Fold_change	Concentration	Passage1	Passage2	FDR	FDR_sig	Compare	Compound
0_Acarbose_25	0_DMSO_control_0	0.0285714285714286	-0.0798023520558219	25	0	0	0.0666666666666667	Non-sig	auc_l	Acarbose
7_Acarbose_25	7_DMSO_control_0	0.0285714285714286	0.0921387537685792	25	7	7	0.0666666666666667	Non-sig	auc_l	Acarbose
14_Acarbose_25	14_DMSO_control_0	0.0285714285714286	0.0588739062830072	25	14	14	0.0666666666666667	Non-sig	auc_l	Acarbose
20_Acarbose_25	20_DMSO_control_0	0.342857142857143	-0.018205121256696	25	20	20	0.4	Non-sig	auc_l	Acarbose
10_Acarbose_25	10_DMSO_control_0	0.0285714285714286	0.0546075873482248	25	10	10	0.0666666666666667	Non-sig	auc_l	Acarbose
17_Acarbose_25	17_DMSO_control_0	0.2	0.0193320261184728	25	17	17	0.28	Non-sig	auc_l	Acarbose
4_Acarbose_25	4_DMSO_control_0	0.0285714285714286	-0.0852070053099156	25	4	4	0.0666666666666667	Non-sig	auc_l	Acarbose
17_Acarbose_50	17_DMSO_control_0	0.885714285714286	0.011065962850383	50	17	17	0.885714285714286	Non-sig	auc_l	Acarbose
14_Acarbose_50	14_DMSO_control_0	0.0285714285714286	0.0909598242147675	50	14	14	0.0666666666666667	Non-sig	auc_l	Acarbose
10_Acarbose_50	10_DMSO_control_0	0.114285714285714	0.0199573986551449	50	10	10	0.177777777777777	Non-sig	auc_l	Acarbose
7_Acarbose_50	7_DMSO_control_0	0.0571428571428571	0.0942155429873161	50	7	7	0.0999999999999999	Non-sig	auc_l	Acarbose
20_Acarbose_50	20_DMSO_control_0	0.685714285714286	0.0123347530220284	50	20	20	0.738461538461539	Non-sig	auc_l	Acarbose
4_Acarbose_50	4_DMSO_control_0	0.0571428571428571	-0.0525793855902872	50	4	4	0.0999999999999999	Non-sig	auc_l	Acarbose
0_Acarbose_50	0_DMSO_control_0	0.342857142857143	0.0164721567960373	50	0	0	0.4	Non-sig	auc_l	Acarbose
7_Donepezil_25	7_DMSO_control_0	0.342857142857143	0.00789557064285632	25	7	7	0.6	Non-sig	auc_l	Donepezil
