Sample_ID	Exp	Number_of_variants	Well	Column	Row_num	Plate	Compound	Concentration	Solvent	Individual
A3	ALE2	23	A3	3	8	5	PFNA	250	DMSO	Yes
B1	ALE2	27	B1	1	7	5	DMSO_control	0	DMSO	Yes
B3	ALE2	20	B3	3	7	5	PFNA	250	DMSO	Yes
C3	ALE2	27	C3	3	6	5	PFNA	250	DMSO	Yes
D1	ALE2	21	D1	1	5	5	DMSO_control	0	DMSO	Yes
D3	ALE2	25	D3	3	5	5	PFNA	250	DMSO	Yes
E2	ALE2	18	E2	2	4	5	PFOA	500	DMSO	Yes
F1	ALE2	25	F1	1	3	5	DMSO_control	0	DMSO	Yes
F2	ALE2	21	F2	2	3	5	PFOA	500	DMSO	Yes
G2	ALE2	26	G2	2	2	5	PFOA	500	DMSO	Yes
H1	ALE2	28	H1	1	1	5	DMSO_control	0	DMSO	Yes
H2	ALE2	25	H2	2	1	5	PFOA	500	DMSO	Yes
Plate1A1	ALE1	55	A1	1	8	1	Acarbose	25	DMSO	No
Plate1A10	ALE1	36	A10	10	8	1	Cypermethrin	25	DMSO	No
Plate1A11	ALE1	57	A11	11	8	1	Digoxin	25	DMSO	No
Plate1A12	ALE1	36	A12	12	8	1	Water_control	0	Water_control	No
Plate1A2	ALE1	62	A2	2	8	1	Acesulfame_K	25	DMSO	No
Plate1A3	ALE1	91	A3	3	8	1	Acetaminophen	25	DMSO	No
Plate1A4	ALE1	77	A4	4	8	1	Aripiprazole	25	DMSO	No
Plate1A5	ALE1	38	A5	5	8	1	Aspartame	25	DMSO	No
Plate1A6	ALE1	46	A6	6	8	1	Aspirin	25	DMSO	No
Plate1A7	ALE1	37	A7	7	8	1	Caffeine	25	DMSO	No
Plate1A8	ALE1	36	A8	8	8	1	Chlorpyrifos	25	DMSO	No
Plate1B1	ALE1	38	B1	1	7	1	Acarbose	25	DMSO	No
Plate1B10	ALE1	26	B10	10	7	1	Cypermethrin	25	DMSO	No
Plate1B11	ALE1	30	B11	11	7	1	Digoxin	25	DMSO	No
Plate1B12	ALE1	31	B12	12	7	1	Water_control	0	Water_control	No
Plate1B2	ALE1	23	B2	2	7	1	Acesulfame_K	25	DMSO	No
Plate1B3	ALE1	23	B3	3	7	1	Acetaminophen	25	DMSO	No
Plate1B4	ALE1	41	B4	4	7	1	Aripiprazole	25	DMSO	No
Plate1B5	ALE1	24	B5	5	7	1	Aspartame	25	DMSO	No
Plate1B6	ALE1	44	B6	6	7	1	Aspirin	25	DMSO	No
Plate1B7	ALE1	32	B7	7	7	1	Caffeine	25	DMSO	No
Plate1B8	ALE1	78	B8	8	7	1	Chlorpyrifos	25	DMSO	No
Plate1B9	ALE1	27	B9	9	7	1	NT5002	0	NA	No
Plate1C1	ALE1	30	C1	1	6	1	Acarbose	25	DMSO	No
Plate1C10	ALE1	19	C10	10	6	1	Cypermethrin	25	DMSO	No
Plate1C11	ALE1	68	C11	11	6	1	Digoxin	25	DMSO	No
Plate1C12	ALE1	38	C12	12	6	1	Water_control	0	Water_control	No
Plate1C2	ALE1	41	C2	2	6	1	Acesulfame_K	25	DMSO	No
Plate1C3	ALE1	26	C3	3	6	1	Acetaminophen	25	DMSO	No
Plate1C4	ALE1	23	C4	4	6	1	Aripiprazole	25	DMSO	No
Plate1C5	ALE1	58	C5	5	6	1	Aspartame	25	DMSO	No
Plate1C6	ALE1	41	C6	6	6	1	Aspirin	25	DMSO	No
Plate1C7	ALE1	28	C7	7	6	1	Caffeine	25	DMSO	No
Plate1C8	ALE1	31	C8	8	6	1	Chlorpyrifos	25	DMSO	No
Plate1C9	ALE1	34	C9	9	6	1	NT5002	0	NA	No
Plate1D1	ALE1	33	D1	1	5	1	Acarbose	25	DMSO	No
Plate1D10	ALE1	17	D10	10	5	1	Cypermethrin	25	DMSO	No
Plate1D11	ALE1	41	D11	11	5	1	Digoxin	25	DMSO	No
Plate1D12	ALE1	38	D12	12	5	1	Water_control	0	Water_control	No
Plate1D2	ALE1	25	D2	2	5	1	Acesulfame_K	25	DMSO	No
Plate1D3	ALE1	24	D3	3	5	1	Acetaminophen	25	DMSO	No
Plate1D4	ALE1	21	D4	4	5	1	Aripiprazole	25	DMSO	No
Plate1D5	ALE1	23	D5	5	5	1	Aspartame	25	DMSO	No
Plate1D6	ALE1	26	D6	6	5	1	Aspirin	25	DMSO	No
Plate1D7	ALE1	21	D7	7	5	1	Caffeine	25	DMSO	No
Plate1D8	ALE1	22	D8	8	5	1	Chlorpyrifos	25	DMSO	No
Plate1E1	ALE1	40	E1	1	4	1	Acarbose	50	DMSO	No
Plate1E10	ALE1	27	E10	10	4	1	Cypermethrin	50	DMSO	No
Plate1E11	ALE1	31	E11	11	4	1	Digoxin	50	DMSO	No
Plate1E12	ALE1	55	E12	12	4	1	DMSO_control	0	DMSO_control	No
Plate1E2	ALE1	18	E2	2	4	1	Acesulfame_K	50	DMSO	No
Plate1E3	ALE1	23	E3	3	4	1	Acetaminophen	50	DMSO	No
Plate1E4	ALE1	21	E4	4	4	1	Aripiprazole	50	DMSO	No
Plate1E5	ALE1	31	E5	5	4	1	Aspartame	50	DMSO	No
Plate1E6	ALE1	31	E6	6	4	1	Aspirin	50	DMSO	No
Plate1E7	ALE1	25	E7	7	4	1	Caffeine	50	DMSO	No
Plate1E8	ALE1	34	E8	8	4	1	Chlorpyrifos	50	DMSO	No
Plate1E9	ALE1	36	E9	9	4	1	Metformin	50	DMSO	No
Plate1F1	ALE1	29	F1	1	3	1	Acarbose	50	DMSO	No
Plate1F10	ALE1	30	F10	10	3	1	Cypermethrin	50	DMSO	No
Plate1F11	ALE1	20	F11	11	3	1	Digoxin	50	DMSO	No
Plate1F12	ALE1	22	F12	12	3	1	DMSO_control	0	DMSO_control	No
Plate1F2	ALE1	19	F2	2	3	1	Acesulfame_K	50	DMSO	No
Plate1F3	ALE1	26	F3	3	3	1	Acetaminophen	50	DMSO	No
Plate1F4	ALE1	33	F4	4	3	1	Aripiprazole	50	DMSO	No
Plate1F5	ALE1	36	F5	5	3	1	Aspartame	50	DMSO	No
Plate1F6	ALE1	19	F6	6	3	1	Aspirin	50	DMSO	No
Plate1F7	ALE1	32	F7	7	3	1	Caffeine	50	DMSO	No
Plate1F8	ALE1	44	F8	8	3	1	Chlorpyrifos	50	DMSO	No
Plate1F9	ALE1	23	F9	9	3	1	DMSO_control	0	DMSO_control	No
Plate1G1	ALE1	93	G1	1	2	1	Acarbose	50	DMSO	No
Plate1G10	ALE1	26	G10	10	2	1	Cypermethrin	50	DMSO	No
Plate1G11	ALE1	18	G11	11	2	1	Digoxin	50	DMSO	No
Plate1G12	ALE1	29	G12	12	2	1	DMSO_control	0	DMSO_control	No
Plate1G2	ALE1	27	G2	2	2	1	Acesulfame_K	50	DMSO	No
Plate1G3	ALE1	34	G3	3	2	1	Acetaminophen	50	DMSO	No
Plate1G4	ALE1	35	G4	4	2	1	Aripiprazole	50	DMSO	No
Plate1G5	ALE1	50	G5	5	2	1	Aspartame	50	DMSO	No
Plate1G6	ALE1	18	G6	6	2	1	Aspirin	50	DMSO	No
Plate1G7	ALE1	20	G7	7	2	1	Caffeine	50	DMSO	No
Plate1G8	ALE1	35	G8	8	2	1	Chlorpyrifos	50	DMSO	No
Plate1G9	ALE1	18	G9	9	2	1	Metformin	50	DMSO	No
Plate1H1	ALE1	32	H1	1	1	1	Acarbose	50	DMSO	No
Plate1H10	ALE1	17	H10	10	1	1	Cypermethrin	50	DMSO	No
Plate1H11	ALE1	35	H11	11	1	1	Digoxin	50	DMSO	No
Plate1H12	ALE1	17	H12	12	1	1	DMSO_control	0	DMSO_control	No
Plate1H2	ALE1	69	H2	2	1	1	Acesulfame_K	50	DMSO	No
Plate1H3	ALE1	28	H3	3	1	1	Acetaminophen	50	DMSO	No
