Group1	Group2	Significance	Fold_change	Concentration	Passage1	Passage2	FDR	FDR_sig	Compare	Compound
0_Acarbose_25	0_DMSO_control_0	0.0285714285714286	-0.0798022667061778	25	0	0	0.0666666666666667	Non-sig	auc_l	Acarbose
7_Acarbose_25	7_DMSO_control_0	0.0285714285714286	0.0921387532216265	25	7	7	0.0666666666666667	Non-sig	auc_l	Acarbose
14_Acarbose_25	14_DMSO_control_0	0.0285714285714286	0.0588739067784352	25	14	14	0.0666666666666667	Non-sig	auc_l	Acarbose
20_Acarbose_25	20_DMSO_control_0	0.342857142857143	-0.0182051213081988	25	20	20	0.4	Non-sig	auc_l	Acarbose
10_Acarbose_25	10_DMSO_control_0	0.0285714285714286	0.0546075873165135	25	10	10	0.0666666666666667	Non-sig	auc_l	Acarbose
17_Acarbose_25	17_DMSO_control_0	0.2	0.019332026248294	25	17	17	0.28	Non-sig	auc_l	Acarbose
4_Acarbose_25	4_DMSO_control_0	0.0285714285714286	-0.085207005633695	25	4	4	0.0666666666666667	Non-sig	auc_l	Acarbose
17_Acarbose_50	17_DMSO_control_0	0.885714285714286	0.0110659627052743	50	17	17	0.885714285714286	Non-sig	auc_l	Acarbose
14_Acarbose_50	14_DMSO_control_0	0.0285714285714286	0.0909598243163971	50	14	14	0.0666666666666667	Non-sig	auc_l	Acarbose
10_Acarbose_50	10_DMSO_control_0	0.114285714285714	0.0199573987976837	50	10	10	0.177777777777777	Non-sig	auc_l	Acarbose
7_Acarbose_50	7_DMSO_control_0	0.0571428571428571	0.0942155425539775	50	7	7	0.0999999999999999	Non-sig	auc_l	Acarbose
20_Acarbose_50	20_DMSO_control_0	0.685714285714286	0.0123347531059064	50	20	20	0.738461538461539	Non-sig	auc_l	Acarbose
4_Acarbose_50	4_DMSO_control_0	0.0571428571428571	-0.0525793860429424	50	4	4	0.0999999999999999	Non-sig	auc_l	Acarbose
0_Acarbose_50	0_DMSO_control_0	0.342857142857143	0.0164722512960434	50	0	0	0.4	Non-sig	auc_l	Acarbose
7_Donepezil_25	7_DMSO_control_0	0.342857142857143	0.0078955705294858	25	7	7	0.6	Non-sig	auc_l	Donepezil
0_Donepezil_25	0_DMSO_control_0	0.342857142857143	0.0320278497341528	25	0	0	0.6	Non-sig	auc_l	Donepezil
14_Donepezil_25	14_DMSO_control_0	0.685714285714286	-0.0118625609690156	25	14	14	0.685714285714286	Non-sig	auc_l	Donepezil
10_Donepezil_25	10_DMSO_control_0	0.485714285714286	-0.0272001401879397	25	10	10	0.618181818181818	Non-sig	auc_l	Donepezil
20_Donepezil_25	20_DMSO_control_0	0.685714285714286	0.00590823791623756	25	20	20	0.685714285714286	Non-sig	auc_l	Donepezil
