ID	Plate	Time	Well	OD	Passage	Compound	Concentration	Solvent
A1_Plate_1	Plate_1	0	A1	0.189	0	Acarbose	25	DMSO
A1_Plate_1	Plate_1	13	A1	0.839	7	Acarbose	25	DMSO
A1_Plate_1	Plate_1	7	A1	0.646	20	Acarbose	25	DMSO
A1_Plate_1	Plate_1	19	A1	0.743	0	Acarbose	25	DMSO
A1_Plate_1	Plate_1	16	A1	0.852	7	Acarbose	25	DMSO
A1_Plate_1	Plate_1	23	A1	0.857	4	Acarbose	25	DMSO
A1_Plate_1	Plate_1	2	A1	0.418	17	Acarbose	25	DMSO
A1_Plate_1	Plate_1	8	A1	0.645	7	Acarbose	25	DMSO
A1_Plate_1	Plate_1	12	A1	0.829	10	Acarbose	25	DMSO
A1_Plate_1	Plate_1	14	A1	0.665	0	Acarbose	25	DMSO
A1_Plate_1	Plate_1	18	A1	0.833	4	Acarbose	25	DMSO
A1_Plate_1	Plate_1	35	A1	0.976	14	Acarbose	25	DMSO
A1_Plate_1	Plate_1	3	A1	0.46	7	Acarbose	25	DMSO
A1_Plate_1	Plate_1	22	A1	0.876	7	Acarbose	25	DMSO
A1_Plate_1	Plate_1	16	A1	0.858	17	Acarbose	25	DMSO
A1_Plate_1	Plate_1	9	A1	0.51	0	Acarbose	25	DMSO
A1_Plate_1	Plate_1	30	A1	0.96	14	Acarbose	25	DMSO
A1_Plate_1	Plate_1	13	A1	0.795	4	Acarbose	25	DMSO
A1_Plate_1	Plate_1	49	A1	0.992	14	Acarbose	25	DMSO
A1_Plate_1	Plate_1	17	A1	0.852	7	Acarbose	25	DMSO
A1_Plate_1	Plate_1	4	A1	0.294	0	Acarbose	25	DMSO
A1_Plate_1	Plate_1	11	A1	0.775	20	Acarbose	25	DMSO
A1_Plate_1	Plate_1	23	A1	0.756	0	Acarbose	25	DMSO
A1_Plate_1	Plate_1	14	A1	0.858	14	Acarbose	25	DMSO
A1_Plate_1	Plate_1	20	A1	0.863	7	Acarbose	25	DMSO
A1_Plate_1	Plate_1	44	A1	0.988	14	Acarbose	25	DMSO
A1_Plate_1	Plate_1	6	A1	0.55	17	Acarbose	25	DMSO
A1_Plate_1	Plate_1	12	A1	0.824	7	Acarbose	25	DMSO
