Comparison	Median_OD_Water_control	Median_OD_Xanthan_gum	P_value	P_adjust	Sig
A_Amoxicillin	0.179	0.174	2.50598267213867e-07	1.20287168262656e-05	Yes
A_Erythromycin	0.298	0.295	0.333772462811009	1	No
A_Metronidazole	0.199	0.196	0.0143445857943784	0.688540118130163	No
A_Ampicillin	0.1745	0.173	0.322071459157446	1	No
A_Chloramphenicol	0.2325	0.242	0.00810172562286327	0.388882829897437	No
A_Doxycycline	0.277	0.277	0.653547575961687	1	No
B_Amoxicillin	0.175	0.171	0.0336794283845455	1	No
B_Erythromycin	0.3015	0.29	2.50595914434182e-05	0.00120286038928407	Yes
B_Metronidazole	0.198	0.196	0.00562195641379649	0.269853907862232	No
B_Ampicillin	0.17	0.167	0.413889369179115	1	No
B_Chloramphenicol	0.264	0.263	0.917926186673961	1	No
B_Doxycycline	0.285	0.276	0.03177900713019	1	No
C_Amoxicillin	0.179	0.2235	4.34029212119916e-11	2.0833402181756e-09	Yes
C_Erythromycin	0.298	0.292	0.190663991180799	1	No
C_Metronidazole	0.2015	0.1975	0.00211654239242856	0.101594034836571	No
C_Ampicillin	0.1685	0.168	0.673489668607078	1	No
C_Chloramphenicol	0.283	0.2815	0.357677973187304	1	No
C_Doxycycline	0.282	0.274	0.0475507610088761	1	No
D_Amoxicillin	0.443	0.559	3.69245446618728e-06	0.000177237814376989	Yes
D_Erythromycin	0.279	0.448	2.16535208362661e-13	1.03936900014077e-11	Yes
D_Metronidazole	0.209	0.204	9.66826131471342e-05	0.00464076543106244	Yes
D_Ampicillin	0.17	0.169	0.73723733570083	1	No
D_Chloramphenicol	0.282	0.279	0.130119857494686	1	No
D_Doxycycline	0.2435	0.248	0.114937264728017	1	No
E_Amoxicillin	0.762	0.8455	0.00105890534731518	0.0508274566711286	No
E_Erythromycin	0.585	0.8135	4.6430167155693e-32	2.22864802347326e-30	Yes
E_Metronidazole	0.22	0.212	7.37493885990933e-08	3.53997065275648e-06	Yes
E_Ampicillin	0.237	0.247	0.0356667128672724	1	No
E_Chloramphenicol	0.297	0.279	2.04058909952611e-08	9.79482767772533e-07	Yes
E_Doxycycline	0.2955	0.243	1.83265800204669e-10	8.79675840982411e-09	Yes
F_Amoxicillin	0.916	0.9185	0.11422746514342	1	No
F_Erythromycin	0.862	0.88	0.00132160804406254	0.0634371861150019	No
F_Metronidazole	0.264	0.238	6.73041573608814e-08	3.23059955332231e-06	Yes
F_Ampicillin	0.517	0.671	0.000318726058621652	0.0152988508138393	No
F_Chloramphenicol	0.701	0.6855	0.00625287779479152	0.300138134149993	No
F_Doxycycline	0.5505	0.545	0.300356078552986	1	No
G_Amoxicillin	0.9515	0.937	0.0224732594311577	1	No
G_Erythromycin	0.899	0.901	0.7195623492364	1	No
G_Metronidazole	0.8705	0.7955	0.00199859213088461	0.0959324222824613	No
G_Ampicillin	0.8755	0.891	0.52087039463907	1	No
G_Chloramphenicol	0.8825	0.887	0.514874318104993	1	No
G_Doxycycline	0.7065	0.723	0.0108489532153065	0.520749754334712	No
H_Amoxicillin	0.953	0.964	0.227544345445934	1	No
H_Erythromycin	0.9145	0.922	0.867679572757979	1	No
H_Metronidazole	0.9295	0.929	0.652993331821633	1	No
H_Ampicillin	0.9325	0.943	0.11711877233244	1	No
H_Chloramphenicol	0.928	0.935	0.382190185210542	1	No
H_Doxycycline	0.9275	0.936	0.42392544632909	1	No
