Population Letter Antibiotic
Parental ae Amoxicillin
Plate4_A4 b Amoxicillin
Plate4_A5 bd Amoxicillin
Plate4_B4 c Amoxicillin
Plate4_B5 ab Amoxicillin
Plate4_C4 d Amoxicillin
Plate4_C5 abe Amoxicillin
Plate4_D4 ef Amoxicillin
Plate4_E4 d Amoxicillin
Plate4_F4 c Amoxicillin
Plate4_G4 c Amoxicillin
Plate4_H4 f Amoxicillin
Parental a Erythromycin
Plate4_A4 b Erythromycin
Plate4_A5 a Erythromycin
Plate4_B4 bc Erythromycin
Plate4_B5 bc Erythromycin
Plate4_C4 b Erythromycin
Plate4_C5 b Erythromycin
Plate4_D4 bc Erythromycin
Plate4_E4 b Erythromycin
Plate4_F4 b Erythromycin
Plate4_G4 c Erythromycin
Plate4_H4 d Erythromycin
Parental ac Metronidazole
Plate4_A4 ab Metronidazole
Plate4_A5 b Metronidazole
Plate4_B4 abce Metronidazole
Plate4_B5 ce Metronidazole
Plate4_C4 abc Metronidazole
Plate4_C5 ace Metronidazole
Plate4_D4 d Metronidazole
Plate4_E4 e Metronidazole
Plate4_F4 ace Metronidazole
Plate4_G4 ace Metronidazole
Plate4_H4 d Metronidazole
Parental a Ampicillin
Plate4_A4 b Ampicillin
Plate4_A5 ab Ampicillin
Plate4_B4 c Ampicillin
Plate4_B5 d Ampicillin
Plate4_C4 bc Ampicillin
Plate4_C5 ad Ampicillin
Plate4_D4 e Ampicillin
Plate4_E4 ad Ampicillin
Plate4_F4 bd Ampicillin
Plate4_G4 c Ampicillin
Plate4_H4 e Ampicillin
Parental a Chloramphenicol
Plate4_A4 ab Chloramphenicol
Plate4_A5 a Chloramphenicol
Plate4_B4 a Chloramphenicol
Plate4_B5 ab Chloramphenicol
Plate4_C4 b Chloramphenicol
Plate4_C5 a Chloramphenicol
Plate4_D4 c Chloramphenicol
Plate4_E4 ab Chloramphenicol
Plate4_F4 ab Chloramphenicol
Plate4_G4 b Chloramphenicol
Plate4_H4 c Chloramphenicol
Parental a Doxycycline
Plate4_A4 bd Doxycycline
Plate4_A5 cf Doxycycline
Plate4_B4 bc Doxycycline
Plate4_B5 bd Doxycycline
Plate4_C4 d Doxycycline
Plate4_C5 bd Doxycycline
Plate4_D4 e Doxycycline
Plate4_E4 cf Doxycycline
Plate4_F4 cf Doxycycline
Plate4_G4 bd Doxycycline
Plate4_H4 f Doxycycline
