Genome	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	rRNA_5S	rRNA_16S	rRNA_23S	tRNAs	Genome_accession	Species_rep	Lineage	Sample_accession	Study_accession	Country	Continent	FTP_download
MGYG000001346	Isolate	4452540	62	149898	46.38	99.26	0	94.96	99.67	99.49	20	GUT_GENOME096083	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	SAMN02463737	PRJNA224116	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000001346.gff.gz
MGYG000004948	Isolate	5001607	85	197147	46.37	99.26	0.12	0	99.67	99.49	20	GCA_009020405	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	SAMN11944054	SRP200548	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000004948.gff.gz
MGYG000004993	Isolate	4884011	68	271127	46.44	99.26	0.19	0	99.67	99.49	20	GCA_009020175	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	SAMN11944066	SRP200548	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000004993.gff.gz
MGYG000005007	Isolate	5253259	104	121399	46.43	99.26	0	95.8	99.67	99.49	20	GCA_009019185	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	SAMN11944116	SRP200548	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000005007.gff.gz
MGYG000005325	Isolate	5116913	56	329532	46.52	99.26	0.37	0	99.67	99.49	20	GCA_009020645	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	SAMN11944042	SRP200548	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000005325.gff.gz
MGYG000005413	Isolate	5154397	54	271284	46.22	99.26	0.5	0	99.67	99.49	20	GCA_009020075	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	SAMN11944070	SRP200548	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000005413.gff.gz
MGYG000005430	Isolate	4742686	1174	6005	45.88	88.68	2.04	0	99.67	99.56	20	GCA_009019175	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	SAMN11944117	SRP200548	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000005430.gff.gz
MGYG000005673	Isolate	4986692	471	19305	46.23	98.7	0.74	0	99.67	99.49	20	GCA_009019475	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	SAMN11944102	SRP200548	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000005673.gff.gz
MGYG000005705	Isolate	4899115	40	394997	46.28	99.26	0.37	92.44	99.67	99.49	20	GCA_009020735	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	SAMN11944037	SRP200548	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000005705.gff.gz
MGYG000005825	Isolate	4776406	1224	5011	46.46	95.46	2.01	0	99.67	99.49	18	GCA_009019465	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	SAMN11944099	SRP200548	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000005825.gff.gz
MGYG000006120	Isolate	4949315	54	196270	45.94	99.26	0.37	0	99.67	99.49	20	GCA_009020755	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	SAMN11944036	SRP200548	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000006120.gff.gz
MGYG000006220	Isolate	3919480	1365	3559	44.97	77.15	1.59	0	99.67	99.49	20	GCA_009019685	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	SAMN11944090	SRP200548	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000006220.gff.gz
MGYG000006379	Isolate	5041079	75	196467	46.26	99.26	0.74	0	99.67	99.49	20	GCA_009020475	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	SAMN11944048	SRP200548	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000006379.gff.gz
MGYG000006434	MAG	4672567	87	127663	46.54	99.26	0	94.96	0	92.55	20	CAJJZK01	MGYG000001346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	ERS5595237	ERP120667	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000013/MGYG000001346/genomes1/MGYG000006434.gff.gz
